Date,Price,Open,High,Low,Vol.,Change %
22-Jul-10,5441.95,5399.15,5447.15,5372.2,156.00M,0.79%
23-Jul-10,5449.1,5441.9,5477.5,5435.15,165.93M,0.13%
26-Jul-10,5418.6,5446.55,5466.25,5409.2,147.33M,-0.56%
27-Jul-10,5430.6,5420.2,5450.95,5407.2,155.31M,0.22%
28-Jul-10,5397.55,5436.1,5447.85,5386.25,146.94M,-0.61%
29-Jul-10,5408.9,5397.85,5415.85,5381.55,162.31M,0.21%
30-Jul-10,5367.6,5408.4,5413.25,5349.2,131.80M,-0.76%
2-Aug-10,5431.65,5369.55,5438.85,5351.3,104.23M,1.19%
3-Aug-10,5439.55,5432.5,5459.2,5426.4,130.73M,0.15%
4-Aug-10,5467.85,5441.35,5481.9,5428.4,120.78M,0.52%
5-Aug-10,5447.1,5470.15,5487.15,5443.1,129.64M,-0.38%
6-Aug-10,5439.25,5448.25,5471.9,5431.35,116.67M,-0.14%
9-Aug-10,5486.15,5439.8,5492.3,5433.25,137.00M,0.86%
10-Aug-10,5460.7,5486.8,5491.45,5445.35,164.22M,-0.46%
11-Aug-10,5420.6,5460.7,5474.6,5412.0,174.63M,-0.73%
12-Aug-10,5416.45,5418.7,5431.1,5372.45,172.04M,-0.08%
13-Aug-10,5452.1,5420.65,5476.5,5415.5,154.91M,0.66%
16-Aug-10,5418.3,5452.1,5465.25,5397.4,189.45M,-0.62%
17-Aug-10,5414.15,5422.15,5443.55,5408.8,138.28M,-0.08%
18-Aug-10,5479.15,5416.25,5487.95,5416.25,154.25M,1.20%
19-Aug-10,5540.2,5478.25,5544.7,5478.1,167.74M,1.11%
20-Aug-10,5530.65,5540.8,5546.6,5513.35,144.07M,-0.17%
23-Aug-10,5543.5,5531.15,5549.8,5519.4,118.74M,0.23%
24-Aug-10,5505.1,5541.1,5547.25,5488.45,139.15M,-0.69%
25-Aug-10,5462.35,5505.3,5506.15,5452.55,157.76M,-0.78%
26-Aug-10,5477.9,5462.1,5486.55,5454.7,186.38M,0.28%
27-Aug-10,5408.7,5489.6,5495.2,5391.95,142.33M,-1.26%
30-Aug-10,5415.45,5408.9,5469.0,5390.35,113.84M,0.12%
31-Aug-10,5402.4,5413.55,5413.9,5348.9,157.13M,-0.24%
1-Sep-10,5471.85,5403.05,5478.6,5403.05,144.23M,1.29%
2-Sep-10,5486.15,5471.9,5513.95,5471.85,159.67M,0.26%
3-Sep-10,5479.4,5486.3,5510.4,5473.65,146.81M,-0.12%
6-Sep-10,5576.95,5479.55,5589.4,5479.55,158.94M,1.78%
7-Sep-10,5604.0,5575.9,5625.5,5571.65,177.48M,0.49%
8-Sep-10,5607.85,5604.25,5625.3,5567.75,135.33M,0.07%
9-Sep-10,5640.05,5608.3,5647.45,5608.1,138.06M,0.57%
13-Sep-10,5760.0,5639.2,5770.6,5639.2,152.80M,2.13%
14-Sep-10,5795.55,5760.3,5838.45,5760.3,188.43M,0.62%
15-Sep-10,5860.95,5795.25,5869.45,5792.2,187.21M,1.13%
16-Sep-10,5828.7,5861.1,5901.65,5815.8,192.47M,-0.55%
17-Sep-10,5884.95,5828.7,5898.4,5828.7,211.38M,0.97%
20-Sep-10,5980.45,5885.05,5989.5,5885.05,193.48M,1.62%
21-Sep-10,6009.05,5980.5,6032.8,5961.85,200.95M,0.48%
22-Sep-10,5991.0,6008.4,6037.4,5946.45,170.15M,-0.30%
23-Sep-10,5959.55,5991.05,6006.8,5932.4,135.58M,-0.52%
24-Sep-10,6018.3,5959.45,6029.1,5951.2,176.46M,0.99%
27-Sep-10,6035.65,6018.3,6073.5,6018.3,166.77M,0.29%
28-Sep-10,6029.5,6036.05,6049.8,5991.3,170.65M,-0.10%
29-Sep-10,5991.3,6029.15,6071.55,5979.65,183.15M,-0.63%
30-Sep-10,6029.95,5991.35,6048.45,5963.6,217.77M,0.65%
1-Oct-10,6143.4,6030.3,6153.1,6030.3,179.17M,1.88%
4-Oct-10,6159.45,6144.7,6222.1,6144.7,184.60M,0.26%
5-Oct-10,6145.8,6159.45,6188.35,6118.05,145.24M,-0.22%
6-Oct-10,6186.45,6150.95,6223.4,6148.6,152.50M,0.66%
7-Oct-10,6120.3,6186.85,6199.45,6107.5,168.88M,-1.07%
8-Oct-10,6103.45,6121.4,6148.6,6067.0,134.64M,-0.28%
11-Oct-10,6135.85,6105.95,6187.75,6105.95,115.78M,0.53%
12-Oct-10,6090.9,6135.95,6144.95,6057.95,109.94M,-0.73%
13-Oct-10,6233.9,6091.45,6240.25,6089.75,148.66M,2.35%
14-Oct-10,6177.35,6234.3,6284.1,6157.9,128.49M,-0.91%
15-Oct-10,6062.65,6175.9,6200.6,6050.35,111.06M,-1.86%
18-Oct-10,6075.95,6112.75,6115.1,5985.1,138.75M,0.22%
19-Oct-10,6027.3,6114.45,6127.05,6008.15,130.46M,-0.80%
20-Oct-10,5982.1,6002.95,6038.1,5966.75,105.11M,-0.75%
21-Oct-10,6101.5,6008.9,6113.5,5984.9,123.10M,2.00%
22-Oct-10,6066.05,6113.4,6121.1,6041.35,109.38M,-0.58%
25-Oct-10,6105.8,6101.25,6151.3,6094.6,123.12M,0.66%
26-Oct-10,6082.0,6116.3,6120.25,6074.65,113.45M,-0.39%
27-Oct-10,6012.65,6075.45,6075.95,5987.55,116.71M,-1.14%
28-Oct-10,5987.7,6039.95,6071.1,5968.1,228.79M,-0.41%
29-Oct-10,6017.7,6021.15,6032.65,5937.1,137.88M,0.50%
1-Nov-10,6117.55,6092.3,6132.4,6084.75,128.91M,1.66%
2-Nov-10,6119.0,6127.55,6138.1,6094.4,122.09M,0.02%
3-Nov-10,6160.5,6150.6,6182.5,6146.8,111.32M,0.68%
4-Nov-10,6281.8,6209.6,6290.15,6199.35,125.03M,1.97%
5-Nov-10,6312.45,6321.85,6338.5,6303.1,27.18M,0.49%
8-Nov-10,6273.2,6335.25,6335.9,6265.35,153.93M,-0.62%
